Cash Flow Momentum Score (CMS)-S&P 500 Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap-on Incorporated,0.03%,SNA,62,61,49,48,67,54,50,NA,62,37,49,71,42,57,50,52,51,39,48,55,26,19,69,38,47,47,68,39
Coterra Energy Inc.,0.03%,CTRA,60,62,74,50,77,61,61,NA,63,82,74,55,80,60,64,7,5,66,67,60,55,50,58,69,67,41,69,65
"Mid-America Apartment Communities, Inc.",0.03%,MAA,33,59,18,75,59,48,66,NA,59,58,45,55,52,56,64,59,56,70,66,69,62,52,59,68,64,57,64,57
"Principal Financial Group, Inc.",0.04%,PFG,36,73,37,72,48,37,52,NA,73,54,55,56,66,70,64,61,78,76,50,70,60,70,64,61,74,61,65,53
Hologic Inc,0.03%,HOLX,63,62,58,67,70,39,52,68,51,67,75,58,21,49,23,67,81,63,42,22,61,25,51,53,67,25,56,62
Jacobs Solutions Inc.,0.03%,J,61,57,74,11,72,37,62,NA,58,20,38,66,5,39,47,71,42,69,43,38,29,15,58,31,49,46,45,18
Factset Research Systems,0.03%,FDS,51,49,47,66,56,49,50,53,55,51,55,56,52,56,50,46,58,50,60,54,45,53,66,47,63,66,60,45
Ball Corporation,0.03%,BALL,44,69,11,50,19,65,66,NA,70,11,49,47,55,54,77,18,57,68,52,55,70,31,45,55,72,29,58,62
W.R. Berkley Corporation,0.04%,WRB,64,60,74,52,64,42,69,NA,60,69,65,69,61,29,40,49,64,41,62,51,65,53,32,69,65,66,73,74
"Ulta Beauty, Inc.",0.03%,ULTA,45,40,42,22,84,18,23,44,54,55,52,59,57,48,58,35,53,56,40,56,51,75,55,38,57,43,29,12
Trimble Inc.,0.03%,TRMB,35,60,47,14,73,37,46,NA,60,24,48,56,50,54,52,62,53,51,56,58,55,23,56,44,59,55,49,49
Las Vegas Sands Corp.,0.06%,LVS,79,80,56,64,61,72,57,NA,80,7,27,10,37,65,69,75,55,69,73,62,61,65,35,13,64,18,67,48
Keycorp,0.03%,KEY,11,51,27,4,45,79,56,NA,51,86,34,41,68,69,60,77,48,52,68,56,60,79,48,29,26,41,78,68
Quest Diagnostics Inc.,0.03%,DGX,44,41,49,61,31,74,25,NA,43,54,53,68,51,51,57,63,39,65,27,72,46,58,47,65,60,63,56,59
"Teradyne, Inc.",0.03%,TER,40,39,39,59,22,65,48,NA,40,33,54,58,55,40,75,44,56,78,41,74,36,78,15,44,30,79,7,57
Masco Corporation,0.03%,MAS,64,69,67,67,22,66,64,NA,69,43,54,53,38,63,49,53,62,35,71,25,9,19,31,27,63,54,48,50
"Best Buy Company, Inc.",0.04%,BBY,48,32,73,17,81,19,65,33,35,47,77,58,61,49,75,42,67,48,21,49,20,57,45,54,42,42,66,62
Pentair Plc,0.03%,PNR,56,50,47,83,19,34,34,NA,51,26,43,65,29,37,35,63,46,70,65,7,66,45,61,33,64,43,43,45
Baxter International Inc.,0.03%,BAX,53,41,5,10,45,61,21,NA,41,10,47,37,47,42,57,38,29,47,56,60,49,64,60,56,57,72,63,61
Idex Corporation,0.03%,IEX,53,49,59,36,51,51,50,NA,50,40,41,52,49,44,50,57,48,44,60,73,42,32,49,63,53,47,48,57
"Alexandria Real Estate Equities, Inc.",0.03%,ARE,72,77,71,72,67,47,56,NA,77,74,54,50,70,42,57,33,53,56,48,62,50,46,41,47,61,49,63,31
Genuine Parts Company,0.03%,GPC,41,34,62,33,49,32,65,NA,36,50,38,79,34,55,36,40,67,27,55,61,32,39,67,38,55,32,29,51
Kimco Realty Corp.,0.03%,KIM,70,65,65,70,42,42,54,NA,66,50,37,46,55,54,52,63,33,59,69,57,50,64,22,54,53,39,43,43
"Expeditors International of Washington, Inc.",0.03%,EXPD,26,39,28,26,66,36,40,NA,39,73,42,33,56,39,32,40,58,31,37,28,40,39,35,54,32,48,49,42
"Tyson Foods, Inc.",0.04%,TSN,48,48,44,71,8,74,8,NA,6,26,45,68,31,42,44,54,70,28,53,58,33,64,47,37,69,5,57,56
Dollar General Corp.,0.03%,DG,64,41,65,42,68,56,43,43,19,36,62,42,51,38,51,40,43,37,35,49,42,51,61,32,41,57,27,53
"Textron, Inc.",0.03%,TXT,30,37,27,62,11,68,29,NA,38,53,68,46,39,51,67,45,57,80,47,58,62,58,43,39,37,45,64,56
Avery Dennison Corp.,0.03%,AVY,39,39,54,46,33,55,66,NA,40,45,56,46,67,22,57,64,63,50,29,66,48,44,42,63,45,52,49,61
Gen Digital Inc.,0.03%,GEN,88,89,40,49,91,77,22,91,43,67,72,27,78,48,31,25,57,49,55,63,67,65,39,72,67,76,77,72
Nisource Inc.,0.03%,NI,57,59,51,53,53,48,47,NA,59,52,49,19,69,7,46,40,60,43,51,63,52,37,84,44,40,79,50,76
Marathon Oil Corporation,0.03%,MRO,68,68,78,77,66,76,66,NA,68,78,81,12,39,61,30,8,3,40,64,44,70,55,39,51,60,54,65,71
"Everest Group, Ltd.",0.03%,EG,71,65,77,61,66,57,65,NA,65,63,73,75,73,45,52,58,55,60,64,46,22,58,57,26,58,40,24,60
Jb Hunt Transport Services Inc,0.03%,JBHT,46,43,49,45,72,27,37,NA,44,53,39,45,40,50,37,46,58,46,41,40,62,58,42,66,46,49,33,48
Align Technology Inc,0.03%,ALGN,42,55,64,58,32,21,54,NA,56,35,58,30,60,52,64,46,54,63,70,57,52,69,34,32,65,6,39,62
"Healthpeak Properties, Inc.",0.03%,DOC,84,82,67,71,68,88,52,NA,82,62,57,69,57,58,73,73,73,44,17,35,28,NA,NA,NA,NA,NA,NA,NA
Domino's Pizza Inc.,0.03%,DPZ,47,46,51,44,49,45,51,NA,47,37,47,50,53,40,51,44,64,37,47,60,57,64,64,57,57,50,58,58
Viatris Inc.,0.03%,VTRS,31,64,79,32,77,23,73,NA,65,60,51,24,62,70,64,67,78,33,58,61,37,73,70,52,18,79,33,36
Verisign Inc,0.03%,VRSN,43,48,57,34,74,48,63,NA,49,60,49,47,54,47,67,66,72,70,54,80,73,30,52,44,20,43,55,48
Jabil Inc.,0.03%,JBL,43,43,66,73,27,47,69,47,54,54,52,59,65,35,71,39,75,26,75,34,70,35,43,62,33,41,62,63
Alliant Energy Corporation,0.03%,LNT,68,46,68,48,58,42,49,NA,47,27,34,28,42,21,54,48,48,59,39,56,40,78,83,25,55,25,35,54
"Cf Industries Holding, Inc.",0.03%,CF,55,55,85,60,73,44,68,NA,56,74,88,66,73,66,80,14,41,34,38,68,77,81,67,56,82,72,22,83
Loews Corporation,0.03%,L,40,69,38,54,66,25,58,NA,70,68,59,30,32,76,67,49,71,61,39,53,81,16,74,34,73,29,70,60
The Estee Lauder Companies Inc. Class A,0.04%,EL,66,61,32,39,47,77,5,65,30,41,57,56,43,64,48,47,64,53,40,45,43,62,54,49,44,72,32,58
Amcor Plcs,0.03%,AMCR,46,52,16,79,31,69,10,58,36,58,50,69,44,32,42,13,40,26,31,25,34,16,16,19,35,36,12,18
"Revvity, Inc.",0.02%,RVTY,47,16,45,52,61,70,33,NA,16,35,65,64,49,34,40,58,43,62,27,40,67,36,36,59,58,24,66,58
Aptiv Plc,0.02%,APTV,43,43,24,48,31,41,47,NA,43,41,32,34,45,49,31,63,38,65,58,54,53,67,NA,NA,NA,NA,NA,NA
"Evergy, Inc.",0.03%,EVRG,59,54,84,41,52,48,78,NA,55,61,37,70,29,67,59,58,49,60,56,59,40,62,62,47,37,37,64,74
"Moderna, Inc.",0.03%,MRNA,15,4,8,14,11,60,6,NA,4,43,76,39,6,11,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pool Corporation,0.02%,POOL,58,65,76,20,59,41,68,NA,66,48,23,46,50,18,35,41,43,41,25,57,24,42,70,62,39,44,22,25
"Rollins, Inc.",0.04%,ROL,44,42,43,43,53,52,35,NA,44,51,36,59,50,45,44,50,42,53,46,39,54,47,52,48,46,54,50,45
Nordson Corp,0.03%,NDSN,54,55,55,36,65,48,52,NA,56,43,47,66,33,59,44,55,39,46,39,52,61,35,51,43,45,54,59,62
"F5, Inc.",0.03%,FFIV,61,56,71,45,73,50,52,60,67,42,55,60,61,59,68,70,76,66,62,67,68,65,58,67,66,61,56,46
Skyworks Solutions Inc,0.02%,SWKS,63,59,74,56,57,82,58,61,73,50,60,49,67,48,72,59,57,71,73,37,68,45,63,67,54,7,35,62
"Stanley Black & Decker, Inc.",0.02%,SWK,41,40,45,46,5,49,70,NA,41,11,14,62,54,42,37,63,44,66,39,32,38,61,64,58,67,63,49,40
"Epam Systems, Inc.",0.02%,EPAM,39,43,69,19,55,19,64,NA,43,31,35,59,29,49,56,61,22,57,38,30,68,32,60,NA,NA,NA,NA,NA
Akamai Technologies Inc,0.02%,AKAM,60,55,45,67,64,64,52,NA,55,64,66,62,59,70,54,68,65,61,55,66,60,51,71,77,68,63,51,65
"Udr, Inc.",0.03%,UDR,67,56,67,71,67,68,51,NA,57,65,52,53,62,53,54,59,42,64,55,44,57,23,37,12,34,42,41,50
"Conagra Brands, Inc.",0.02%,CAG,76,74,31,33,74,47,51,77,33,38,36,71,55,30,51,23,26,63,62,48,49,71,32,16,33,49,67,19
Incyte Genomics Inc,0.03%,INCY,33,24,74,13,59,42,31,NA,24,68,53,9,63,59,6,66,61,29,28,47,5,42,31,10,10,25,20,13
Camden Property Trust,0.02%,CPT,65,59,47,71,53,38,64,NA,60,51,52,56,58,57,51,37,47,41,44,46,57,61,36,57,42,53,57,73
Albemarle Corporation,0.02%,ALB,5,9,12,24,54,5,50,NA,10,56,31,51,46,40,38,56,23,66,37,49,54,34,56,63,29,77,40,67
Henry (Jack) & Associates,0.02%,JKHY,55,58,38,74,55,33,48,63,28,51,41,60,48,42,47,48,61,62,62,60,57,55,67,61,59,75,46,56
"C.H. Robinson Worldwide, Inc.",0.02%,CHRW,16,46,33,58,15,25,52,NA,47,74,14,28,51,55,22,29,62,49,22,33,38,26,31,66,30,55,47,41
Juniper Networks Inc,0.02%,JNPR,59,73,62,7,45,16,61,NA,73,12,59,65,37,43,71,69,59,32,59,39,60,39,52,58,51,39,63,67
"Host Hotels & Resorts, Inc.",0.02%,HST,59,56,59,62,65,53,49,NA,58,79,35,8,46,43,58,59,56,52,63,59,29,19,18,64,58,53,64,21
"Dayforce, Inc.",0.02%,DAY,60,58,51,39,29,55,11,NA,58,29,29,36,38,33,54,9,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allegion Public Limited Company,0.02%,ALLE,53,50,59,59,31,65,41,NA,51,42,40,53,45,52,43,69,50,51,50,44,34,NA,NA,NA,NA,NA,NA,NA
Bunge Global Sa,0.02%,BG,66,65,75,4,63,61,78,NA,66,8,23,9,25,3,41,73,12,36,73,5,71,4,6,78,9,6,12,60
"Universal Health Services, Inc. Class B",0.02%,UHS,61,55,30,68,57,67,16,NA,55,46,17,77,56,50,46,54,39,53,55,48,65,46,56,64,58,12,57,54
Dollar Tree Inc.,0.03%,DLTR,31,29,32,42,41,53,12,28,28,21,64,52,39,24,68,41,54,51,34,55,38,65,54,51,59,67,49,37
Norwegian Cruise Line Holdings Ltd.s,0.02%,NCLH,71,64,27,65,82,21,21,NA,64,26,12,6,43,67,60,58,64,54,58,52,44,65,42,17,11,26,40,12
The J.M. Smucker Company,0.02%,SJM,50,50,25,55,71,30,26,56,36,47,63,58,52,45,48,75,43,50,56,60,21,60,64,31,62,46,54,23
Regency Centers Corporation,0.02%,REG,61,58,69,62,64,47,65,NA,59,66,69,36,64,70,66,51,50,57,51,75,67,51,28,45,35,36,44,32
Carmax Inc.,0.02%,KMX,39,10,74,4,66,53,36,10,68,5,39,11,33,28,7,32,7,24,5,7,6,14,59,17,26,38,12,41
Eastman Chemical Company,0.02%,EMN,54,56,59,69,17,46,62,NA,57,32,62,62,58,49,58,52,68,59,52,70,36,39,70,46,59,40,65,70
"Bxp, Inc.",0.02%,BXP,37,75,17,78,61,74,35,NA,76,72,67,64,63,62,47,61,53,43,48,57,63,41,57,56,35,35,39,38
"Tapestry, Inc.",0.02%,TPR,62,61,27,61,30,81,25,66,51,42,73,20,34,57,55,40,58,47,62,57,47,62,48,62,58,56,61,69
Bio-Techne Corp.,0.02%,TECH,54,51,43,49,60,60,32,53,29,43,62,35,47,43,46,46,45,50,41,46,50,45,47,58,48,56,54,53
Generac Holdings Inc,0.02%,GNRC,74,68,70,31,52,76,62,NA,68,15,26,57,51,39,57,74,56,52,57,77,58,73,80,30,41,NA,NA,NA
"Super Micro Computer, Inc.",0.02%,SMCI,10,11,32,12,14,66,17,9,53,9,46,11,76,58,8,61,13,11,12,34,36,11,45,40,47,40,27,27
"Lamb Weston Holdings, Inc.",0.02%,LW,34,29,49,71,24,25,39,30,40,41,46,45,61,36,49,48,42,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charles River Laboratories International, Inc.",0.02%,CRL,58,44,67,62,49,49,61,NA,45,39,60,51,57,63,57,59,62,65,51,59,63,18,46,37,61,19,60,65
"The Interpublic Group of Companies, Inc.",0.02%,IPG,45,26,67,42,11,77,56,NA,26,23,65,75,77,25,68,28,48,51,64,40,18,75,52,79,61,35,6,20
"Paycom Software, Inc.",0.02%,PAYC,52,54,42,56,61,58,40,NA,54,53,58,49,52,57,62,70,64,47,60,29,43,NA,NA,NA,NA,NA,NA,NA
News Corporation Class A,0.03%,NWSA,50,51,12,44,73,69,8,53,51,65,68,41,64,39,20,69,26,64,12,24,50,46,NA,NA,NA,NA,NA,NA
"Assurant, Inc.",0.02%,AIZ,71,65,53,76,26,59,62,NA,66,48,40,60,74,61,57,19,29,24,69,44,64,63,24,58,69,50,68,61
"Catalent, Inc.",0.02%,CTLT,16,14,11,75,13,33,4,14,6,26,18,56,28,54,64,30,27,60,41,21,20,NA,NA,NA,NA,NA,NA,NA
Molson Coors Beverage Company Class B,0.02%,TAP,55,67,40,76,18,51,52,NA,67,43,51,41,63,64,64,49,42,68,66,64,52,37,57,31,28,71,44,57
Erie Indemnity Co,0.03%,ERIE,35,31,51,42,38,56,23,NA,31,39,36,24,35,44,34,47,38,21,86,25,48,84,57,48,50,60,52,43
Pinnacle West Capital Corporation,0.02%,PNW,48,45,61,26,58,23,47,NA,46,62,36,48,38,54,53,49,54,54,52,63,70,43,73,63,61,29,53,61
Lkq Corporation,0.02%,LKQ,51,50,68,36,59,28,52,NA,50,43,42,70,65,54,23,47,48,21,50,25,37,26,44,53,24,42,41,34
Marketaxess Holdings Inc.,0.02%,MKTX,54,50,57,76,32,72,45,NA,51,51,36,61,54,56,60,34,52,62,48,64,51,73,73,63,73,50,46,53
Fox Corporation Class A,0.04%,FOXA,43,46,30,60,79,6,14,49,47,48,56,63,71,28,62,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solventum Corporation,0.02%,SOLV,66,72,28,60,66,71,64,NA,72,49,62,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aes Corporation,0.02%,AES,54,51,56,44,27,18,64,NA,51,38,20,71,56,43,22,41,63,41,68,32,27,51,55,48,54,73,80,66
Globe Life Inc.,0.02%,GL,53,51,55,54,57,58,46,NA,52,60,56,64,61,55,52,75,74,51,69,64,52,63,75,59,62,65,70,58
Teleflex Incorporated,0.02%,TFX,69,53,73,33,60,52,63,NA,53,25,58,40,33,47,54,66,45,58,51,41,15,42,49,40,66,63,72,66
A.O. Smith Corporation,0.02%,AOS,55,58,67,25,41,62,53,NA,59,39,52,63,45,51,30,57,52,34,58,43,11,19,77,31,68,46,78,51
The Mosaic Company,0.02%,MOS,55,49,50,52,11,44,20,NA,49,66,57,59,6,59,12,46,54,75,40,28,51,53,49,32,65,58,17,55
Hormel Foods Corporation,0.03%,HRL,42,34,35,30,65,46,51,NA,36,42,28,44,25,43,45,38,58,46,46,37,34,36,63,31,36,31,61,43
Campbell Soup Company,0.02%,CPB,53,52,29,34,78,30,41,56,45,61,35,63,60,61,52,72,66,32,48,52,54,41,63,47,29,65,60,36
"Caesars Entertainment, Inc.",0.01%,CZR,43,69,17,54,24,50,49,NA,70,24,41,15,66,80,60,79,54,39,22,20,14,20,26,7,64,62,37,81
Henry Schein Inc,0.02%,HSIC,42,25,37,64,69,8,45,NA,27,36,46,44,40,48,39,44,38,37,63,31,60,37,46,65,42,39,61,44
Federal Realty Investment Trust,0.02%,FRT,56,58,56,57,72,44,56,NA,59,58,62,53,44,54,51,56,52,57,52,61,48,57,66,59,50,54,57,65
"Enphase Energy, Inc.",0.01%,ENPH,50,46,63,61,28,27,36,NA,47,65,61,60,55,31,19,6,6,30,27,8,27,15,19,NA,NA,NA,NA,NA
Celanese Corporation,0.01%,CE,44,43,23,60,23,53,33,NA,44,48,59,25,51,66,32,48,49,50,34,40,47,25,41,63,39,60,82,10
Ralph Lauren Corporation,0.02%,RL,69,68,24,65,38,80,20,74,21,61,16,57,47,58,28,64,40,33,51,51,30,61,64,53,73,55,64,28
Mgm Resorts International,0.02%,MGM,76,72,70,57,67,62,68,NA,73,67,48,10,51,42,50,52,17,17,44,42,57,15,27,23,25,48,68,65
"Hasbro, Inc.",0.02%,HAS,45,41,54,52,62,43,47,NA,42,33,47,73,37,46,51,63,52,44,32,65,41,43,28,62,77,42,75,48
"Match Group, Inc",0.01%,MTCH,73,69,61,39,74,58,68,NA,69,48,55,44,54,73,60,27,55,44,58,57,61,57,31,24,33,69,29,64
Invesco Ltd,0.01%,IVZ,47,47,58,75,12,40,54,NA,47,31,40,61,69,35,66,20,42,59,31,38,62,30,28,37,65,42,75,21
Apa Corporation,0.02%,APA,60,48,47,69,55,66,51,NA,48,78,88,12,7,63,39,12,4,6,57,47,78,70,22,73,69,54,67,67
"Huntington Ingalls Industries, Inc.",0.01%,HII,41,52,68,27,10,69,69,NA,52,47,36,62,44,43,49,51,69,78,17,47,42,52,NA,NA,NA,NA,NA,NA
Wynn Resorts Ltd,0.02%,WYNN,75,75,33,67,69,61,26,NA,76,29,26,7,44,36,78,63,42,37,76,61,78,75,60,45,66,30,31,19
Borgwarner Inc.,0.01%,BWA,52,52,53,66,13,79,51,NA,52,60,54,62,44,43,65,67,45,40,26,62,50,50,51,16,65,59,46,65
"Mohawk Industries, Inc.",0.02%,MHK,63,45,59,51,49,38,43,NA,45,39,33,67,59,36,29,55,49,39,27,64,31,29,37,25,51,65,59,21
Brown-Forman Corporation Class B,0.03%,BF-B,34,32,26,48,63,44,23,32,24,49,40,38,50,32,50,36,37,48,38,40,39,51,45,61,40,40,54,48
Fmc Corporation,0.01%,FMC,32,20,46,53,41,52,11,NA,20,28,50,52,46,29,14,72,13,39,26,31,38,58,42,50,55,58,52,45
Davita Inc.,0.02%,DVA,73,75,71,83,18,62,74,NA,75,59,61,65,73,54,63,71,62,48,74,49,73,64,55,49,44,55,62,68
Paramount Global Class B,0.01%,PARA,44,29,63,13,31,62,61,NA,29,9,19,59,27,54,47,57,45,26,37,46,47,71,47,33,62,36,37,30
"Walgreens Boots Alliance, Inc",0.01%,WBA,4,4,45,57,6,29,43,3,6,27,53,60,38,55,49,65,52,45,45,62,41,48,59,49,30,53,22,33
"Franklin Resources, Inc.",0.02%,BEN,47,47,35,72,49,9,64,50,36,70,46,61,20,81,35,46,56,49,61,32,44,61,29,46,58,54,54,64
"Qorvo, Inc.",0.01%,QRVO,36,26,31,40,56,45,39,28,51,43,61,63,54,33,22,47,47,59,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fox Corporation Class B,0.04%,FOX,42,46,28,60,79,6,14,49,47,48,56,63,71,28,62,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TTM,Fiscal Year,Latest Qtr,Previous Qtr,2 QTR ago,3 Qtr Ago,4 QTR Ago,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
S&P Weighted Index- Cash Flow Momentum Score,,,49.994,50.46,50.943,50.953,49.871,49.669,51.613,17.618,48.662,52.458,52.232,52.2,50.957,52.126,52.136,52.807,53.001,49.249,50.306,50.757,53.07,49.409,46.912,53.314,48.835,45.743,46.486,42.995